Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Registrar Horas de Trabajo,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Casos de prueba),Campo personalizado (Criterios de aceptacion),Campo personalizado (Issue color),Campo personalizado (Rank),Sprint,Campo personalizado (Start date),Campo personalizado (Team),Campo personalizado (Tipo),Campo personalizado (development),Comentario,Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
Autenticación y usuarios,DUMI-72,10469,Epic,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,High,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 11:24 AM,04/dic/25 10:57 AM,04/dic/25 10:41 AM,,,0,"Implementar registro e inicio de sesión para clientes, empleados y administradores, utilizando SuperTokens para la autenticación. El administrador puede crear empleados con rol {{seller}} y los clientes externos pueden registrarse por sí mismos.",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,0,0,,,,,dark_purple,0|i0005j:,,,,,{},"20/nov/25 1:20 PM;712020:ad2c091b-8d96-44d1-ba61-1a91939fc268;Desarrollo de login, registro de clientes y empleados, y cierre de sesión.",Por hacer,20/nov/25 11:24 AM,,,
Gestión de clientes,DUMI-73,10470,Epic,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 11:24 AM,29/nov/25 10:05 PM,,,26/sep/25 12:00 AM,0,"Permitir al administrador y a los empleados gestionar los datos de los clientes internos (nombre, contacto, etc.). Esta funcionalidad es necesaria para la creación de cotizaciones y pedidos por mayor.",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,,,dark_blue,0|i0005r:,,19/sep/25 12:00 AM,,,{},,Por hacer,20/nov/25 11:24 AM,,,
Gestión de prendas,DUMI-74,10471,Epic,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 11:25 AM,03/dic/25 11:25 PM,,,03/oct/25 12:00 AM,0,"Crear y mantener el inventario de prendas con sus variantes de talla (2 a XXL) y género (masculino, femenino y unisex), imágenes y precios adicionales. Es la base tanto para las cotizaciones internas como para el catálogo e‑commerce.",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,,,dark_green,0|i0005z:,,19/sep/25 12:00 AM,,,{},,Por hacer,20/nov/25 11:25 AM,,,
Cotizaciones internas,DUMI-75,10472,Epic,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 11:25 AM,03/dic/25 11:25 PM,04/dic/25 10:21 AM,,04/oct/25 12:00 AM,0,"Digitalizar la creación de cotizaciones por mayor. Los empleados generan cotizaciones, cuando una cotizacion se crea, inicia con el estado de pendiente, y las cotizaciones aprobadas se convierten en órdenes.",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,,,teal,0|i00067:,,19/sep/25 12:00 AM,,,{},,Por hacer,20/nov/25 11:25 AM,,,
Gestión de órdenes,DUMI-76,10473,Epic,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 11:25 AM,29/nov/25 10:05 PM,04/dic/25 1:31 PM,,24/oct/25 12:00 AM,0,Crear y gestionar órdenes resultantes de cotizaciones aprobadas y compras e‑commerce. Las órdenes empiezan en estado {{IN_PRODUCTION}} y terminan en {{DONE}} al registrarse el pago.,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,,,dark_yellow,0|i0006f:,,10/oct/25 12:00 AM,,,{},,Por hacer,20/nov/25 11:25 AM,,,
Catálogo e‑commerce,DUMI-77,10474,Epic,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Dev Eddu,712020:aa3f28f3-889e-4443-8709-452953e2c2ad,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 11:25 AM,29/nov/25 10:07 PM,,,22/oct/25 12:00 AM,0,"Construir la sección pública del sitio donde los clientes externos pueden navegar, filtrar y buscar prendas. Debe mostrar imágenes, tallas, género, precio base y precio adicional.",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,,,dark_orange,0|i0006n:,,10/oct/25 12:00 AM,,,{},,Por hacer,20/nov/25 11:25 AM,,,
Carrito y pagos,DUMI-78,10475,Epic,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Alba Malca,712020:1eb62840-a0a3-45d0-b3ba-550c72b01b58,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 11:25 AM,03/dic/25 11:25 PM,,,30/oct/25 12:00 AM,0,"Permitir a los clientes añadir productos al carrito, modificar cantidades, calcular el total (con precios adicionales) y pagar mediante una pasarela. Al finalizar el pago, se genera la orden correspondiente.",,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,,,dark_grey,0|i0006v:,,10/oct/25 12:00 AM,,,{},,Por hacer,20/nov/25 11:25 AM,,,
Seguimiento y cierre de pedidos,DUMI-79,10476,Epic,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,Carlos Alonso Díaz Uceda,712020:c7bec43b-2b9d-4bf8-b9a1-40b1314cdadf,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 11:25 AM,03/dic/25 11:25 PM,04/dic/25 10:32 AM,,30/oct/25 12:00 AM,0,Permitir a los clientes ver el estado de sus pedidos y su historial. Los administradores pueden actualizar los estados de los pedidos e‑commerce.,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,,,orange,0|i00073:,,10/oct/25 12:00 AM,,,{},,Por hacer,20/nov/25 11:25 AM,,,
Inicio de sesión de administrador,DUMI-81,10511,Historia,En curso,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,High,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:43 PM,04/dic/25 11:20 AM,04/dic/25 10:41 AM,,,0,*Yo como* administrador *quiero* iniciar sesión en la aplicación *para* acceder al panel de gestión interna.,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,0,0,,,63600,0,63600,,"* Ingresar un correo válido y contraseña correcta y verificar que se accede al panel.
* Ingresar un correo con formato incorrecto (ej. {{usuario@}}) y comprobar que aparece un mensaje de error de validación.
* Ingresar credenciales incorrectas y verificar que no se accede y se muestra un mensaje de error.","* Se debe mostrar un formulario con campos de correo electrónico y contraseña.
* El correo electrónico debe tener un formato válido y la contraseña debe tener al menos 6 caracteres.
* Al ingresar credenciales válidas, el usuario es redirigido al panel de administración.
* Si el correo o contraseña son incorrectos, se muestra un mensaje de error sin revelar información sensible.",,0|i0005f:,Tablero Sprint 1,,,,{},,En curso,04/dic/25 11:20 AM,10469,DUMI-72,Autenticación y usuarios
Registro de cliente,DUMI-82,10513,Historia,Tareas por hacer,DUMI,dumi,software,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,Medium,,,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,20/nov/25 12:44 PM,04/dic/25 11:39 AM,04/dic/25 10:27 AM,,,0,*Yo como* cliente *quiero* crear una cuenta en el e‑commerce *para* realizar compras de prendas.,,Jeancarlo Morales,712020:ad2c091b-8d96-44d1-ba61-1a91939fc268,,,,,,,,,,"* Completar todos los campos correctamente y verificar que la cuenta se crea y redirige al catálogo.
* Intentar registrarse con un correo ya existente y verificar que aparece un mensaje de error.
* Introducir un correo sin formato correcto y comprobar que se bloquea el registro.
* Introducir contraseñas distintas en los campos de contraseña y confirmación y verificar que no se crea la cuenta.","* El formulario de registro debe solicitar nombre, correo electrónico, contraseña y confirmación de contraseña.
* El correo debe ser único y tener formato válido; la contraseña debe tener al menos 6 caracteres.
* Al completar el registro con datos válidos, se crea la cuenta y se inicia sesión automáticamente.
* Si el correo ya existe en el sistema, se muestra un mensaje indicando que el usuario ya está registrado.
* Las contraseñas que no coinciden impiden el registro y muestran un mensaje de error.",,0|i000bb:,Tablero Sprint 3,,,,{},,Por hacer,20/nov/25 12:44 PM,10469,DUMI-72,Autenticación y usuarios
